,prefecture,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
21,Kyoto,2527330,2539069,2550863,2562711,2574615,2586574,2589743,2592916,2596093,2599275,2602460,2607863,2613279,2618705,2624143,2629592,2632545,2635501,2638461,2641424,2644391,2645044,2645698,2646351,2647005,2647660,2645342,2643026,2640713,2638401,2636092,2630881,2625680,2620489,2615309,2610140,2603697,2597271,2590860,2584465,2574609.776155337,2570192.7463822896,2566819.692876091,2564761.773731148,2551405.105278506,2546988.0755060683,2543615.021999759,2541557.102852969,2528200.4343988667,2523783.404627946,2520410.3511209665
22,Kochi,831275,832969,834668,836369,838075,839784,836813,833852,830902,827963,825034,823361,821691,820025,818363,816704,816152,815600,815049,814499,813949,810386,806839,803308,799792,796292,789820,783401,777034,770719,764456,757117,749849,742651,735521,728461,720919,713456,706070,698760,684268.5595535466,676869.1018990702,669394.6093035234,661826.3337588296,655085.3014347196,647685.8437801998,640211.3511846586,632643.0756400939,625902.043316081,618502.5856614596,611028.0930659653
23,Mie,1686936,1698841,1710831,1722905,1735065,1747311,1756259,1765253,1774294,1783380,1792514,1802178,1811894,1821662,1831483,1841358,1844543,1847733,1850930,1854131,1857339,1859259,1861182,1863107,1865034,1866963,1864508,1862057,1859609,1857165,1854724,1846878,1839066,1831286,1823540,1815827,1806619,1797458,1788344,1779276,1764143.5045888664,1756865.4449056198,1750448.8854628361,1745113.5432485065,1730344.5301580739,1723066.470475323,1716649.9110324495,1711314.5688166232,1696545.5557250082,1689267.4960434863,1682850.9366000693
24,Miyagi,2082320,2100784,2119412,2138206,2157166,2176295,2190559,2204917,2219369,2233915,2248558,2264370,2280293,2296329,2312477,2328739,2336009,2343303,2350619,2357958,2365320,2364298,2363277,2362257,2361237,2360218,2357802,2355389,2352978,2350570,2348165,2345368,2342575,2339785,2336998,2334215,2327735,2321273,2314829,2308404,2303731.523829168,2300758.5624775845,2298696.951769612,2297724.5924600363,2285533.6773558613,2282560.7160046785,2280499.1052966346,2279526.7459858437,2267335.8308806987,2264362.8695305283,2262301.258822036
25,Miyazaki,1151587,1156338,1161110,1165901,1170712,1175543,1174212,1172884,1171556,1170231,1168907,1170286,1171666,1173049,1174433,1175819,1174654,1173490,1172328,1171167,1170007,1166594,1163191,1159798,1156415,1153042,1149457,1145885,1142323,1138772,1135233,1128993,1122788,1116617,1110480,1104377,1097327,1090322,1083362,1076447,1064311.3714152551,1058383.9262068958,1052936.297557188,1048092.5694717657,1038036.3937967534,1032108.9485886733,1026661.3199389144,1021817.5918526473,1011761.4161769663,1005833.970969581,1000386.3423195151
26,Nagano,2083934,2094426,2104971,2115569,2126221,2136927,2140852,2144785,2148725,2152672,2156627,2164047,2171492,2178964,2186461,2193984,2198204,2202433,2206669,2210914,2215168,2211344,2207526,2203715,2199911,2196114,2187310,2178542,2169809,2161111,2152449,2141806,2131216,2120678,2110192,2099759,2089305,2078904,2068555,2058257,2036867.7862817002,2025713.43238028,2014025.4218699138,2001666.079489921,1995093.4818447055,1983939.1279429714,1972251.1174326541,1959891.7750536047,1953319.1774091178,1942164.8235066247,1930476.81299665
27,Nagasaki,1590564,1591244,1591924,1592605,1593286,1593968,1587717,1581491,1575289,1569112,1562959,1559337,1555723,1552118,1548522,1544934,1539209,1533506,1527824,1522163,1516523,1508867,1501251,1493673,1486133,1478632,1468112,1457668,1447298,1437002,1426779,1416841,1406973,1397174,1387443,1377780,1364431,1351211,1338120,1325155,1306145.2543979352,1295661.9296428054,1285603.6473001305,1276027.4021070232,1260625.591480651,1250142.2667256491,1240083.984382951,1230507.739189454,1215105.9285627606,1204622.6038080947,1194564.3214652492
28,Nara,1209365,1227888,1246696,1265792,1285180,1304866,1318692,1332666,1346787,1361058,1375481,1386383,1397371,1408446,1419610,1430862,1433240,1435623,1438009,1440400,1442795,1438472,1434162,1429865,1425581,1421310,1417169,1413041,1408924,1404820,1400728,1393509,1386329,1379185,1372078,1365008,1356802,1348647,1340540,1332482,1318493.0641666637,1311849.844273979,1305985.9851512285,1301110.4704888153,1287973.0001651514,1281329.7802729378,1275465.9211501027,1270590.4064862658,1257452.9361614808,1250809.7162704323,1244945.8571470808
29,Niigata,2451357,2456755,2462166,2467588,2473023,2478470,2477692,2476914,2476137,2475359,2474583,2477333,2480086,2482842,2485601,2488364,2485832,2483303,2480777,2478254,2475733,2466814,2457927,2449072,2440250,2431459,2419948,2408492,2397091,2385743,2374450,2360414,2346462,2332592,2318804,2305098,2283948,2262992,2242229,2221656,2194831.9196346006,2179126.833145033,2164155.2136900667,2150024.4006682085,2126139.49011655,2110434.4036272247,2095462.7841722146,2081331.9711496215,2057447.0605973643,2041741.9741086657,2026770.3546533792
30,Okayama,1871023,1880110,1889242,1898419,1907640,1916906,1918696,1920489,1922283,1924079,1925877,1930826,1935787,1940762,1945749,1950750,1950765,1950781,1950796,1950812,1950828,1952113,1953399,1954687,1955975,1957264,1954860,1952459,1950062,1947667,1945276,1940634,1936004,1931385,1926777,1922180,1915383,1908609,1901859,1895134,1886343.6509182695,1882027.1431276437,1878701.4179840707,1876614.002101962,1863602.5426895074,1859286.0348994394,1855960.3097557668,1853872.8938719702,1840861.4344581834,1836544.9266695015,1833219.2015252144
