,prefecture,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
15,Iwate,4530000,4537194,4544400,4558922,4573492,4588108,4602770,4617479,4632236,4647040,4686475,4726246,4766354,4806802,4847594,4929200.730473619,4969551.051614286,5009283.283831414,5048168.487012202,5091438.5240938235,5131788.845240716,5171521.07742503,5210406.280588402,5253676.317649638,5294026.638782054,5333758.870994634
16,Kagawa,3597400,3630398,3663700,3664923,3666146,3667370,3668594,3669819,3671044,3672270,3737213,3803305,3870566,3939017,4008678,4142822.2175378595,4202980.009804424,4255664.9444533065,4298776.815534175,4416863.400628935,4477021.192961332,4529706.127640023,4572817.998716963,4690904.583810743,4751062.376124091,4803747.310756657
17,Kagoshima,5390600,5427324,5464300,5444958,5425685,5406481,5387344,5368275,5349274,5330340,5416043,5503125,5591606,5681511,5772861,5955952.016807164,6045723.793237988,6132989.576713512,6216755.840584592,6317500.021290349,6407271.7977518095,6494537.5812427495,6578303.8451096825,6679048.025818013,6768819.80226563,6856085.58573789
18,Kanagawa,31405600,31681736,31960300,31720946,31483384,31247602,31013586,30781322,30550797,30322000,31241228,32188324,33164132,34169522,35205391,37354607.06151217,38460844.394938886,39583350.79132566,40718469.10839519,41434546.4268672,42540783.76025574,43663290.15670766,44798408.473849714,45514485.79242559,46620723.12573581,47743229.52219772
19,Kochi,2311300,2298212,2285200,2294278,2303392,2312543,2321729,2330953,2340213,2349510,2372083,2394873,2417883,2441113,2464567,2510116.735091541,2531159.6328794463,2550316.763298744,2567022.3040148974,2602986.6100185686,2624029.507817196,2643186.638240073,2659892.1789558064,2695856.484957596,2716899.382756371,2736056.513170703
20,Kumamoto,5665500,5705260,5745300,5724304,5703384,5682542,5661775,5641084,5620469,5599930,5744923,5893671,6046270,6202821,6363425,6680772.745352497,6829541.655658456,6966393.585972019,7087373.940283438,7311182.3412105115,7459951.251556677,7596803.181880631,7717783.536200283,7941591.937136057,8090360.847446678,8227212.777757909
21,Kyoto,10012900,10052720,10092700,10087133,10081570,10076010,10070453,10064898,10059347,10053800,10192386,10332882,10475316,10619712,10766100,11070171.96377832,11230465.024586532,11398006.34784511,11574082.853085443,11653097.280435847,11813390.34123809,11980931.664449451,12157008.169700272,12236022.597014932,12396315.657846032,12563856.981069658
22,Mie,7761399,7981139,8207100,8126064,8045828,7966385,7887726,7809844,7732731,7656380,7740513,7825570,7911563,7998500,8086393,8263662.465235258,8352141.77717797,8439960.941241553,8526645.819636267,8612973.794248624,8701453.106202358,8789272.270282457,8875957.148672394,8962285.123297006,9050764.43523631,9138583.599309834
23,Miyagi,8368700,8326996,8285500,8370059,8455481,8541775,8628950,8717015,8805978,8895850,9075173,9258112,9444739,9635127,9829354,10229367.178606184,10435105.364645898,10644570.840044608,10857664.609649848,10998694.42447061,11204432.61040223,11413898.085765373,11626991.8553884,11768021.670228334,11973759.856169552,12183225.331609143
24,Miyazaki,3504900,3518224,3531600,3547364,3563199,3579104,3595081,3611129,3627248,3643440,3655462,3667524,3679626,3691768,3703950,3726430.1234890646,3735742.603463809,3743117.323629852,3748072.839654552,3774578.258762482,3783890.7387597384,3791265.4589484073,3796220.974969005,3822726.3940865393,3832038.8740700237,3839413.5942404857
25,Nagano,8199300,8173559,8147900,8110099,8072474,8035023,7997746,7960642,7923710,7886950,7997296,8109187,8222642,8337686,8454339,8668798.807570606,8754758.514191892,8818688.030463189,8854743.472825147,9126290.60189813,9212250.308498034,9276179.824738953,9312235.267131522,9583782.39621803,9669742.10278406,9733671.619066935
26,Nagasaki,4305600,4293884,4282200,4286204,4290212,4294224,4298240,4302259,4306283,4310310,4402197,4496043,4591890,4689780,4789758,4996260.547608643,5102899.79974848,5211870.218659904,5323216.8766542915,5392109.942482881,5498749.194583876,5607719.613499354,5719066.271496623,5787959.337334945,5894598.58945472,6003569.008380056
27,Nara,3801800,3775760,3749900,3719275,3688901,3658774,3628894,3599258,3569864,3540710,3614468,3689763,3766627,3845092,3925192,4088225.5434051347,4170128.5421739123,4251597.850214919,4332118.610397313,4404874.043396157,4486777.042193108,4568246.350237288,4648767.110424188,4721522.543418506,4803425.5422075065,4884894.850235976
28,Niigata,9292500,9134608,8979400,8938806,8898396,8858169,8818123,8778259,8738574,8699070,8794188,8890347,8987557,9085831,9185179,9383343.775417842,9480300.812211052,9574594.3330562,9665282.17615177,9777664.21904996,9874621.255937422,9968914.776852079,10059602.619922869,10171984.662837997,10268941.699680414,10363235.220529236
29,Oita,4459200,4466893,4474600,4425596,4377129,4329192,4281781,4234889,4188510,4142640,4216445,4291566,4368025,4445846,4525054,4684346.731710085,4762807.086926585,4839425.399443286,4913431.7869921345,4997605.45290274,5076065.808129642,5152684.120671662,5226690.508192427,5310864.174110607,5389324.529327842,5465942.84186135
30,Okayama,7262800,7396420,7532500,7490410,7448557,7406937,7365549,7324393,7283467,7242770,7358927,7476948,7596862,7718699,7842490,8085242.7262538485,8198876.033826908,8303809.511931935,8397414.657405425,8573858.102458473,8687491.41002108,8792424.88809157,8886030.033604182,9062473.478650412,9176106.786213873,9281040.264300285
31,Okinawa,3618100,3639983,3662000,3715204,3769181,3823942,3879499,3935863,3993046,4051060,4161343,4274629,4390999,4510536,4633329,4885163.726170547,5012437.328476822,5139427.883520497,5265244.234574003,5369035.670845557,5496309.2731606085,5623299.8281939775,5749116.179270187,5852907.615537301,5980181.217854622,6107171.772881541
